--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot67.jpg	                         	0.9999
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot68.jpg	숨                        	0.1228
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot69.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot70.jpg	                         	0.9944
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot71.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot72.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot73.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot74.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot75.jpg	                         	0.9409
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot76.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot77.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot78.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot79.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot80.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot81.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot82.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot83.jpg	                         	0.9965
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot84.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot85.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot86.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot87.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot88.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot89.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot90.jpg	쏟                        	0.1487
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot91.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot92.jpg	                         	0.9999
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot93.jpg	                         	0.9971
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot94.jpg	                         	0.9997
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot95.jpg	습                        	0.5195
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot96.jpg	환                        	0.7468
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot97.jpg	웃                        	0.3277
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot98.jpg	리                        	0.9993
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot99.jpg	끝                        	0.9236
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot100.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot101.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot102.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot103.jpg	                         	0.9682
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot104.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot105.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot106.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot107.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot108.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot109.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot110.jpg	                         	0.9982
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot111.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot112.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot113.jpg	                         	0.9999
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot114.jpg	                         	0.9987
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot115.jpg	솥                        	0.2705
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot116.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot117.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot118.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot119.jpg	                         	0.9999
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot120.jpg	                         	1.0000
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot121.jpg	                         	1.0000
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot0.jpg	                         	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot1.jpg	드                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot2.jpg	독                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot3.jpg	저                        	
